u	mu	n	divs	mean_l1	l1_95	l1_05	exp_l1
40	4e-4	50 tracts	376	0.139474	0.21502499999999997	0.07197500000000001	0.1504
40	4e-4	50 tracts	377	0.140003	0.21602499999999997	0.07297500000000001	0.15080000000000002
40	4e-4	50 tracts	378	0.14037	0.21702499999999997	0.07297500000000001	0.1512
40	4e-4	50 tracts	379	0.140793	0.2160499999999999	0.073975	0.1516
40	4e-4	50 tracts	380	0.140834	0.21507499999999996	0.07297500000000001	0.152
40	4e-4	50 tracts	381	0.14108700000000002	0.21607499999999993	0.07297500000000001	0.1524
40	4e-4	50 tracts	382	0.141508	0.21707499999999996	0.073975	0.15280000000000002
40	4e-4	50 tracts	383	0.142093	0.2180749999999999	0.074975	0.1532
40	4e-4	50 tracts	384	0.142759	0.21904999999999997	0.075975	0.1536
40	4e-4	50 tracts	385	0.143191	0.2200499999999999	0.076	0.154
40	4e-4	50 tracts	386	0.143702	0.2190749999999999	0.077	0.1544
40	4e-4	50 tracts	387	0.144146	0.2190749999999999	0.077	0.15480000000000002
40	4e-4	50 tracts	388	0.144377	0.2190749999999999	0.078	0.1552
