sample	length	marker	subject
MSI1C93113	0.004246699937014764	Nax56UA	MSI1
MSI1C93133	0.009429542360457344	Nax56UA	MSI1
MSI1M2	0	Nax56UA	MSI1
MSI1A3	-0.005654728048019475	Nax5	MSI1
MSI1A333	4.129448222967014e-4	Nax5	MSI1
MSI1A33311	-0.411360008864859	Nax5	MSI1
MSI1A33322	-0.13457841950950122	Nax5	MSI1
MSI1A3333C	-0.030130432321033407	Nax5	MSI1
MSI1B2	-0.00562543468869503	Nax5	MSI1
MSI1B214	-0.043218131556707284	Nax5	MSI1
MSI1B21418	-0.04384428060348089	Nax5	MSI1
MSI1B21419	-0.42826896241401413	Nax5	MSI1
MSI1B21435	0.39307267517492983	Nax5	MSI1
MSI1C9	-0.41575534597271635	Nax5	MSI1
MSI1C931	-0.42651075267177774	Nax5	MSI1
MSI1C93113	-0.3828885909561468	Nax5	MSI1
MSI1C93133	-0.5121895329371762	Nax5	MSI1
MSI1M2	0	Nax5	MSI1
MSI1A3	0.023315733246555004	Nax68LA	MSI1
MSI1A333	0.02349221062528173	Nax68LA	MSI1
MSI1A33311	0.011587344677942646	Nax68LA	MSI1
MSI1A33322	0.0186405024687879	Nax68LA	MSI1
MSI1A3333C	0.015484316374153817	Nax68LA	MSI1
MSI1B2	0.02861598076592875	Nax68LA	MSI1
MSI1B214	0.025279507301382287	Nax68LA	MSI1
MSI1B21418	0.017224336583588684	Nax68LA	MSI1
MSI1B21419	0.00863244700124044	Nax68LA	MSI1
MSI1B21435	0.022932388325702213	Nax68LA	MSI1
MSI1C9	0.014553446530248815	Nax68LA	MSI1
MSI1C931	-0.430502936375212	Nax68LA	MSI1
MSI1C93113	0.0032763308746290853	Nax68LA	MSI1
MSI1C93133	0.015099873708410927	Nax68LA	MSI1
MSI1M2	0	Nax68LA	MSI1
MSI1A3	-0.001997981249565184	Nax68UA	MSI1
MSI1A333	0.0015545554007727613	Nax68UA	MSI1
MSI1A33311	-0.002876937379988398	Nax68UA	MSI1
MSI1A33322	-0.008917876491658872	Nax68UA	MSI1
MSI1A3333C	9.406283819335393e-4	Nax68UA	MSI1
MSI1B2	0.0021670526552279856	Nax68UA	MSI1
MSI1B214	0.0034208163635722766	Nax68UA	MSI1
MSI1B21418	-0.011195523848380073	Nax68UA	MSI1
MSI1B21419	0.0016790584205181869	Nax68UA	MSI1
MSI1B21435	0.005040363972906858	Nax68UA	MSI1
MSI1C9	0.03977121966032238	Nax68UA	MSI1
MSI1C931	0.0034169543329785057	Nax68UA	MSI1
MSI1C93113	1.4453413903581236e-4	Nax68UA	MSI1
MSI1C93133	-0.005350844475757066	Nax68UA	MSI1
MSI1M2	0	Nax68UA	MSI1
MSI1A3	-1.130402561227804	S1-17	MSI1
MSI1A333	-1.72997652522286	S1-17	MSI1
MSI1A33311	-2.5726700034952463	S1-17	MSI1
MSI1A33322	-1.972565801997856	S1-17	MSI1
MSI1A3333C	-1.333408303537977	S1-17	MSI1
MSI1B2	-0.08342227878240482	S1-17	MSI1
MSI1B214	-1.0037925219919641	S1-17	MSI1
