samples	mrca	comparison	subject
C51L1	2721.673266741747	met_primary	C51
C51L2	2294.1686897340596	met_primary	C51
C53P1_C53P2	1537.067484381973	primary_primary	C53
C53P1_C53P3	1630.259724814814	primary_primary	C53
C53P1_C53P4	1630.259724814814	primary_primary	C53
C53P2_C53P3	1537.067484381973	primary_primary	C53
C53P2_C53P4	1537.067484381973	primary_primary	C53
C53P3_C53P4	1718.7911451845778	primary_primary	C53
C53M1	1321.8543960841234	met_primary	C53
C53L1	1831.6657969174578	met_primary	C53
C53M2	1321.8543960841234	met_primary	C53
C53M3	1570.2973694565012	met_primary	C53
C58P3_C58P1	1528.7833029896992	primary_primary	C58
C58P3_C58P2	1528.7833029896992	primary_primary	C58
