a	b	l1	r	marker	divs
C94L2	C94P1e	0.07936212050249526	0.9588123333886411	25	841.4678986838381
C94L2	C94P1f	0.15596377947555934	0.8012974734749067	25	1653.6669251669264
C94L3	C94L4	0.09837055332704094	0.9435425191651315	25	1043.0122365224477
C94L3	C94L5	0.09765641966338863	0.9086178254796536	25	1035.4403552580854
C94L3	C94L6	0.13946527697019814	0.8623744888181161	25	1478.7351044606007
C94L3	C94L7	0.15597528071520578	0.9318938165966753	25	1653.7888715551564
C94L3	C94L8	0.09953769171683309	0.8846514015504283	25	1055.3872774376
C94L3	C94L9	0.24034050220764913	0.8317122269666809	25	2548.3041037812263
C94L3	C94N1	0.17113859119031244	NA	25	1814.5637969451282
C94L3	C94N2	0.16545756837114098	0.32682752801114096	25	1754.3285322652632
C94L3	C94N3	0.17504017349813128	-0.26637767665868406	25	1855.9318481679927
C94L3	C94P1b	0.1748112240787879	0.7688447256016067	25	1853.5043224721073
C94L3	C94P1d	0.10959298856428557	0.8155128091848021	25	1162.0024920424319
C94L3	C94P1e	0.14333692025422895	0.8109447082211895	25	1519.7857154830767
C94L3	C94P1f	0.23755236537325566	0.7173782086485206	25	2518.7417933436377
C94L4	C94L5	0.079967024845386	0.9089401544219589	25	847.8816333861636
C94L4	C94L6	0.11127216771644162	0.8327689016282023	25	1179.8066452547196
C94L4	C94L7	0.12443869172804596	0.9005286718014602	25	1319.4098617875572
C94L4	C94L8	0.12567571836990632	0.8907367601409696	25	1332.5259202087714
C94L4	C94L9	0.24718264780370916	0.7579148389318325	25	2620.8506264894304
C94L4	C94N1	0.2480819518159221	NA	25	2630.385848742104
C94L4	C94N2	0.24427639274116456	0.3963985567750791	25	2590.035921375272
C94L4	C94N3	0.2465593870756161	-0.15916169308608227	25	2614.2422610390117
C94L4	C94P1b	0.16004419449918977	0.8431364700310549	25	1696.9311201500268
C94L4	C94P1d	0.13962612437212527	0.8583081303807735	25	1480.4405519014124
C94L4	C94P1e	0.14364081854657645	0.8263596705644172	25	1523.0079158962728
C94L4	C94P1f	0.19188084137942923	0.8338890371922428	25	2034.4916109966919
C94L5	C94L6	0.13140496329511855	0.669045907951578	25	1393.2724786139465
C94L5	C94L7	0.107945762205379	0.8609643568252701	25	1144.5371308082629
C94L5	C94L8	0.14102911239534255	0.7783056314621176	25	1495.316280728972
C94L5	C94L9	0.24012990554754762	0.6216836275016805	25	2546.071170387771
C94L5	C94N1	0.2288428261373749	NA	25	2426.3954997602823
C94L5	C94N2	0.2272939913996612	0.36862505716751226	25	2409.973374142917
C94L5	C94N3	0.23425653711733638	-0.1777282757118978	25	2483.7964861949454
C94L5	C94P1b	0.13295154340884444	0.8787655269652518	25	1409.6706986993363
C94L5	C94P1d	0.11801708160744834	0.8923425926074572	25	1251.3222308103047
C94L5	C94P1e	0.10515676316699636	0.9323505162839771	25	1114.9656785159152
C94L5	C94P1f	0.16903645920456223	0.8147849975986776	25	1792.2751210175527
